GCA_016904835.1	GCA_016904835.1_bAcaChl1.pri_genomic.fna	Acan_chlo	Acanthisitta_chloris
GCA_048593965.1	GCA_048593965.1_ASM4859396v1_genomic.fna	Phyl_troc	Phylloscopus_trochiloides
GCF_047495875.1	GCF_047495875.1_PitAlb_v1_genomic.fna	Pith_albi	Pithys_albifrons
GCF_030490865.1	GCF_030490865.1_bPoeAtr1.hap1_genomic.fna	Poec_atri	Poecile_atricapillus
GCA_038429875.2	GCA_038429875.2_ASM3842987v2_genomic.fna	Poec_mont	Poecile_montanus
GCF_021018805.1	GCF_021018805.1_Cam_Psub_1.2_genomic.fna	Prin_subf	Prinia_subflava
GCA_049639895.1	GCA_049639895.1_ASM4963989v1_genomic.fna	Pseu_humi	Pseudopodoces_humilis
GCF_036250125.1	GCF_036250125.1_bDixPip1.hap1_genomic.fna	Pseu_pipr	Pseudopipra_pipra
GCA_038380795.1	GCA_038380795.1_CAS-CDF_Pyrnan_1.0_genomic.fna	Pyro_nanu	Pyrocephalus_nanus
GCA_965183895.1	GCA_965183895.1_bPyrMur1.1_genomic.fna	Pyrr_muri	Pyrrhula_murina
GCA_013398505.2	GCA_013398505.2_LSU_RhHo_2.0_genomic.fna	Rheg_hoff	Rhegmatorhina_hoffmannsi
GCF_022539315.1	GCF_022539315.1_serCan2020_genomic.fna	Seri_cana	Serinus_canaria
GCA_001746935.2	GCA_001746935.2_mywa_2.1_genomic.fna	Seto_coro	Setophaga_coronata
GCA_032173965.1	GCA_032173965.1_ASM3217396v1_genomic.fna	Sitt_caro	Sitta_carolinensis
GCA_053477405.1	GCA_053477405.1_bSpiPin_pri1.0_genomic.fna	Spin_pinu	Spinus_pinus
GCA_052056855.1	GCA_052056855.1_bStuVul1.hap1_genomic.fna	Stur_vulg	Sturnus_vulgaris
GCF_009819655.1	GCF_009819655.1_bSylAtr1.pri_genomic.fna	Sylv_atri	Sylvia_atricapilla
GCA_014839755.1	GCA_014839755.1_bSylBor1.pri_genomic.fna	Sylv_bori	Sylvia_borin
GCF_048771995.1	GCF_048771995.1_bTaeGut7.mat_genomic.fna	Taen_gutt	Taeniopygia_guttata
GCA_965287035.1	GCA_965287035.1_bTurIli2.1_genomic.fna	Turd_ilia	Turdus_iliacus
GCA_965287015.2	GCA_965287015.2_bTurMer3.2_genomic.fna	Turd_meru	Turdus_merula
GCA_052324695.1	GCA_052324695.1_bTurMig1.hap1_genomic.fna	Turd_migr	Turdus_migratorius
GCA_965287025.1	GCA_965287025.1_bTurPhi1.1_genomic.fna	Turd_phil	Turdus_philomelos
GCF_026979565.1	GCF_026979565.1_bVidCha1_merged_haplotype_genomic.fna	Vidu_chal	Vidua_chalybeata
GCF_024509145.1	GCF_024509145.1_ASM2450914v1_genomic.fna	Vidu_macr	Vidua_macroura
GCA_045364795.1	GCA_045364795.1_bWilVid1_haplotype_1_genomic.fna	Will_vidu	Willisornis_vidua
GCF_047830755.1	GCF_047830755.1_bZonAlb1.hap1_genomic.fna	Zono_albi	Zonotrichia_albicollis
GCA_045269165.1	GCA_045269165.1_RI_Zcap_1.0_genomic.fna	Zono_cape	Zonotrichia_capensis
GCF_028769735.1	GCF_028769735.1_RI_Zleu_2.0_genomic.fna	Zono_leuc	Zonotrichia_leucophrys
GCA_965231275.1	GCA_965231275.1_bZosLat1.hap1.1_genomic.fna	Zost_late	Zosterops_lateralis
